code,product_name,nova_group,energy-kcal_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,sodium_100g
6111035001673,Aïn Atlas 50cl,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0096
20047238,Notenmix Mélange de Noix ongebrand - non grillé,1,646.0,20.4,58.0,6.4,6.4,4.2,8.5,,,,,0.004
7394376616228,Oat Drink Barista Edition,3,61.0,1.1,3.0,0.3,7.1,3.4,0.8,,0.12,,,0.04
6111250470742,Lait U.H.T entier,1,58.0,3.0,3.0,0.0,4.8,0.0,0.0,,0.12,,,0.0
6111203001467,margarine la prairie 225g,4,635.0,1.0,70.0,0.0,0.7,0.0,0.0,,0.12,,,0.28
20005733,Walnusskerne naturbelassen,1,712.0,15.5,69.1,6.8,3.7,3.0,6.8,,,,,0.02
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,4,515.0,7.9,24.8,11.5,64.0,35.8,,,,,,0.2236
7300400481595,Tartine croustillante Authentique,3,336.0,9.0,1.5,0.4,62.0,1.0,19.0,0.0,0.0,0.0026,0.0,0.4
3046920022651,Excellence Noir Intense 70% Cacao,3,566.0,9.5,41.0,24.0,35.0,30.0,,,,,,0.008
6111037000599,Familia 200g,4,532.0,0.2,60.0,21.0,0.2,0.0,5.0,,,,,0.0
6111184001661,Star vinaigre de table BLANC,2,1.0,0.0,0.0,0.0,0.15,0.15,,,,,,0.0
8052575090230,Nocciolata,4,544.0,8.1,32.0,5.7,54.0,51.0,3.6,,,,,0.048
3608580065340,Pâte à tartiner noisettes et cacao,4,551.0,6.7,34.0,5.2,53.0,51.0,3.3,,,,,0.04
5010029000016,Weetabix,3,358.0,11.8,2.11,0.526,68.4,4.21,10.0,,,0.0118,,0.103
